Country,Region,Date,Brand,Metric,Value,Grouping
SWE,all,2018-01-22,CoolInsurance,Unaided Awareness,55.16,all
SWE,all,2018-01-22,AwesomeInsurance,Aided Awareness,89.15,all
SWE,all,2018-01-22,CoolInsurance,Aided Awareness,77.46,all
SWE,all,2018-01-22,AwesomeInsurance,Consideration,26.79,all
SWE,all,2018-01-22,BestInsurance,Consideration,27.11,all
SWE,all,2018-01-22,CoolInsurance,Consideration,27.84,all
SWE,all,2018-01-22,AwesomeInsurance,Penetration,36.03,all
SWE,all,2018-01-22,BestInsurance,Penetration,31.85,all
SWE,all,2018-01-22,CoolInsurance,Penetration,33.96,all
SWE,all,2018-01-22,AwesomeInsurance,Purchase Intent,20.84,all
SWE,all,2018-01-22,AwesomeInsurance,Buzz,30.54,all
SWE,all,2018-01-22,AwesomeInsurance,Wom,22.65,all
SWE,all,2018-01-22,AwesomeInsurance,Recommendation,50.29,all
SWE,all,2018-01-22,AwesomeInsurance,Satisfaction,11.75,all
SWE,all,2018-01-22,CoolInsurance,Satisfaction,10.13,all
SWE,all,2018-01-22,AwesomeInsurance,Likability,33.51,all
SWE,all,2018-01-22,AwesomeInsurance,Quality,82.3,all
SWE,all,2018-01-22,CoolInsurance,Quality,92.11,all
SWE,all,2018-01-22,AwesomeInsurance,Impression,11.31,all
SWE,all,2018-01-22,CoolInsurance,Impression,12.63,all
SWE,all,2018-01-29,AwesomeInsurance,Unaided Awareness,64.32,all
SWE,all,2018-01-29,CoolInsurance,Unaided Awareness,52.21,all
SWE,all,2018-01-29,AwesomeInsurance,Aided Awareness,79.02,all
SWE,all,2018-01-29,CoolInsurance,Aided Awareness,70.13,all
SWE,all,2018-01-29,AwesomeInsurance,Consideration,30.59,all
SWE,all,2018-01-29,BestInsurance,Consideration,25.06,all
SWE,all,2018-01-29,CoolInsurance,Consideration,27.09,all
SWE,all,2018-01-29,AwesomeInsurance,Penetration,38.18,all
SWE,all,2018-01-29,BestInsurance,Penetration,34.86,all
SWE,all,2018-01-29,CoolInsurance,Penetration,36.91,all
SWE,all,2018-01-29,AwesomeInsurance,Purchase Intent,17.41,all
SWE,all,2018-01-29,AwesomeInsurance,Buzz,36.65,all
SWE,all,2018-01-29,AwesomeInsurance,Wom,26.27,all
SWE,all,2018-01-29,AwesomeInsurance,Recommendation,42.17,all
SWE,all,2018-01-29,AwesomeInsurance,Satisfaction,11.06,all
SWE,all,2018-01-29,CoolInsurance,Satisfaction,10.17,all
SWE,all,2018-01-29,AwesomeInsurance,Likability,36.12,all
SWE,all,2018-01-29,AwesomeInsurance,Quality,71.84,all
SWE,all,2018-01-29,CoolInsurance,Quality,79.93,all
SWE,all,2018-01-29,AwesomeInsurance,Impression,13.2,all
SWE,all,2018-01-29,CoolInsurance,Impression,11.24,all
SWE,all,2018-02-05,AwesomeInsurance,Unaided Awareness,63.7,all
SWE,all,2018-02-05,CoolInsurance,Unaided Awareness,54.71,all
SWE,all,2018-02-05,AwesomeInsurance,Aided Awareness,81.49,all
SWE,all,2018-02-05,CoolInsurance,Aided Awareness,78.1,all
SWE,all,2018-02-05,AwesomeInsurance,Consideration,30.3,all
SWE,all,2018-02-05,BestInsurance,Consideration,27.16,all
SWE,all,2018-02-05,CoolInsurance,Consideration,33.25,all
SWE,all,2018-02-05,AwesomeInsurance,Penetration,39.41,all
SWE,all,2018-02-05,BestInsurance,Penetration,34.81,all
SWE,all,2018-02-05,CoolInsurance,Penetration,37.99,all
SWE,all,2018-02-05,AwesomeInsurance,Purchase Intent,17.64,all
SWE,all,2018-02-05,AwesomeInsurance,Buzz,38.53,all
SWE,all,2018-02-05,AwesomeInsurance,Wom,25.86,all
SWE,all,2018-02-05,AwesomeInsurance,Recommendation,52.72,all
SWE,all,2018-02-05,AwesomeInsurance,Satisfaction,12.24,all
SWE,all,2018-02-05,CoolInsurance,Satisfaction,11.2,all
SWE,all,2018-02-05,AwesomeInsurance,Likability,39.23,all
SWE,all,2018-02-05,AwesomeInsurance,Quality,83.14,all
SWE,all,2018-02-05,CoolInsurance,Quality,83.87,all
SWE,all,2018-02-05,AwesomeInsurance,Impression,12.67,all
SWE,all,2018-02-05,CoolInsurance,Impression,10.17,all
SWE,all,2018-02-12,AwesomeInsurance,Unaided Awareness,52.86,all
SWE,all,2018-02-12,CoolInsurance,Unaided Awareness,61.27,all
SWE,all,2018-02-12,AwesomeInsurance,Aided Awareness,71.73,all
SWE,all,2018-02-12,CoolInsurance,Aided Awareness,73.5,all
SWE,all,2018-02-12,AwesomeInsurance,Consideration,30.52,all
SWE,all,2018-02-12,BestInsurance,Consideration,25.47,all
SWE,all,2018-02-12,CoolInsurance,Consideration,30.97,all
SWE,all,2018-02-12,AwesomeInsurance,Penetration,38.82,all
SWE,all,2018-02-12,BestInsurance,Penetration,39.64,all
SWE,all,2018-02-12,CoolInsurance,Penetration,36.08,all
SWE,all,2018-02-12,AwesomeInsurance,Purchase Intent,17.62,all
SWE,all,2018-02-12,AwesomeInsurance,Buzz,33.24,all
SWE,all,2018-02-12,AwesomeInsurance,Wom,20.59,all
SWE,all,2018-02-12,AwesomeInsurance,Recommendation,43.57,all
SWE,all,2018-02-12,AwesomeInsurance,Satisfaction,13.31,all
SWE,all,2018-02-12,CoolInsurance,Satisfaction,12.43,all
SWE,all,2018-02-12,AwesomeInsurance,Likability,33.91,all
SWE,all,2018-02-12,AwesomeInsurance,Quality,91.9,all
SWE,all,2018-02-12,CoolInsurance,Quality,73.1,all
SWE,all,2018-02-12,AwesomeInsurance,Impression,12.8,all
SWE,all,2018-02-12,CoolInsurance,Impression,12.5,all
SWE,all,2018-02-19,AwesomeInsurance,Unaided Awareness,64.08,all
SWE,all,2018-02-19,CoolInsurance,Unaided Awareness,65.53,all
SWE,all,2018-02-19,AwesomeInsurance,Aided Awareness,83.72,all
SWE,all,2018-02-19,CoolInsurance,Aided Awareness,74.47,all
SWE,all,2018-02-19,AwesomeInsurance,Consideration,27.71,all
SWE,all,2018-02-19,BestInsurance,Consideration,33.17,all
SWE,all,2018-02-19,CoolInsurance,Consideration,26.84,all
SWE,all,2018-02-19,AwesomeInsurance,Penetration,36.88,all
SWE,all,2018-02-19,BestInsurance,Penetration,39.96,all
SWE,all,2018-02-19,CoolInsurance,Penetration,39.17,all
SWE,all,2018-02-19,AwesomeInsurance,Purchase Intent,21.45,all
SWE,all,2018-02-19,AwesomeInsurance,Buzz,30.26,all
SWE,all,2018-02-19,AwesomeInsurance,Wom,26.23,all
SWE,all,2018-02-19,AwesomeInsurance,Recommendation,51.76,all
SWE,all,2018-02-19,AwesomeInsurance,Satisfaction,11.15,all
SWE,all,2018-02-19,CoolInsurance,Satisfaction,12.07,all
SWE,all,2018-02-19,AwesomeInsurance,Likability,35.4,all
SWE,all,2018-02-19,AwesomeInsurance,Quality,82.98,all
SWE,all,2018-02-19,CoolInsurance,Quality,85.64,all
SWE,all,2018-02-19,AwesomeInsurance,Impression,11.35,all
SWE,all,2018-02-19,CoolInsurance,Impression,12.2,all
SWE,all,2018-02-26,AwesomeInsurance,Unaided Awareness,53.69,all
SWE,all,2018-02-26,CoolInsurance,Unaided Awareness,57.25,all
SWE,all,2018-02-26,AwesomeInsurance,Aided Awareness,91.15,all
SWE,all,2018-02-26,CoolInsurance,Aided Awareness,91.56,all
SWE,all,2018-02-26,AwesomeInsurance,Consideration,28.58,all
SWE,all,2018-02-26,BestInsurance,Consideration,27.67,all
SWE,all,2018-02-26,CoolInsurance,Consideration,28.26,all
SWE,all,2018-02-26,AwesomeInsurance,Penetration,38.81,all
SWE,all,2018-02-26,BestInsurance,Penetration,34.91,all
SWE,all,2018-02-26,CoolInsurance,Penetration,32.41,all
SWE,all,2018-02-26,AwesomeInsurance,Purchase Intent,20.95,all
SWE,all,2018-02-26,AwesomeInsurance,Buzz,31.97,all
SWE,all,2018-02-26,AwesomeInsurance,Wom,21.87,all
SWE,all,2018-02-26,AwesomeInsurance,Recommendation,53.22,all
SWE,all,2018-02-26,AwesomeInsurance,Satisfaction,10.72,all
SWE,all,2018-02-26,CoolInsurance,Satisfaction,11.03,all
SWE,all,2018-02-26,AwesomeInsurance,Likability,33.97,all
SWE,all,2018-02-26,AwesomeInsurance,Quality,82.77,all
SWE,all,2018-02-26,CoolInsurance,Quality,86.11,all
SWE,all,2018-02-26,AwesomeInsurance,Impression,10.78,all
SWE,all,2018-02-26,CoolInsurance,Impression,10.37,all
SWE,all,2018-03-05,AwesomeInsurance,Unaided Awareness,60.94,all
SWE,all,2018-03-05,CoolInsurance,Unaided Awareness,54.85,all
SWE,all,2018-03-05,AwesomeInsurance,Aided Awareness,73.04,all
SWE,all,2018-03-05,CoolInsurance,Aided Awareness,87.95,all
SWE,all,2018-03-05,AwesomeInsurance,Consideration,25.82,all
SWE,all,2018-03-05,BestInsurance,Consideration,31.41,all
SWE,all,2018-03-05,CoolInsurance,Consideration,26.89,all
SWE,all,2018-03-05,AwesomeInsurance,Penetration,39.45,all
SWE,all,2018-03-05,BestInsurance,Penetration,32.69,all
SWE,all,2018-03-05,CoolInsurance,Penetration,32.79,all
SWE,all,2018-03-05,AwesomeInsurance,Purchase Intent,19.8,all
SWE,all,2018-03-05,AwesomeInsurance,Buzz,30.74,all
SWE,all,2018-03-05,AwesomeInsurance,Wom,21.36,all
SWE,all,2018-03-05,AwesomeInsurance,Recommendation,50.5,all
SWE,all,2018-03-05,AwesomeInsurance,Satisfaction,11.79,all
SWE,all,2018-03-05,CoolInsurance,Satisfaction,11.97,all
SWE,all,2018-03-05,AwesomeInsurance,Likability,36.06,all
SWE,all,2018-03-05,AwesomeInsurance,Quality,70.61,all
SWE,all,2018-03-05,CoolInsurance,Quality,77.68,all
SWE,all,2018-03-05,AwesomeInsurance,Impression,12.87,all
SWE,all,2018-03-05,CoolInsurance,Impression,11.74,all
SWE,all,2018-03-12,AwesomeInsurance,Unaided Awareness,57.67,all
SWE,all,2018-03-12,CoolInsurance,Unaided Awareness,53.12,all
SWE,all,2018-03-12,AwesomeInsurance,Aided Awareness,85.47,all
SWE,all,2018-03-12,CoolInsurance,Aided Awareness,74.88,all
SWE,all,2018-03-12,AwesomeInsurance,Consideration,25.89,all
SWE,all,2018-03-12,BestInsurance,Consideration,29.77,all
SWE,all,2018-03-12,CoolInsurance,Consideration,30.74,all
SWE,all,2018-03-12,AwesomeInsurance,Penetration,34.6,all
SWE,all,2018-03-12,BestInsurance,Penetration,37.23,all
SWE,all,2018-03-12,CoolInsurance,Penetration,35.66,all
SWE,all,2018-03-12,AwesomeInsurance,Purchase Intent,20.09,all
SWE,all,2018-03-12,AwesomeInsurance,Buzz,33.61,all
SWE,all,2018-03-12,AwesomeInsurance,Wom,22.6,all
SWE,all,2018-03-12,AwesomeInsurance,Recommendation,51.14,all
SWE,all,2018-03-12,AwesomeInsurance,Satisfaction,12.93,all
SWE,all,2018-03-12,CoolInsurance,Satisfaction,11.04,all
SWE,all,2018-03-12,AwesomeInsurance,Likability,32.5,all
SWE,all,2018-03-12,AwesomeInsurance,Quality,88.04,all
SWE,all,2018-03-12,CoolInsurance,Quality,83.27,all
SWE,all,2018-03-12,AwesomeInsurance,Impression,12.32,all
SWE,all,2018-03-12,CoolInsurance,Impression,11.54,all
SWE,all,2018-03-19,AwesomeInsurance,Unaided Awareness,55.79,all
SWE,all,2018-03-19,CoolInsurance,Unaided Awareness,61.96,all
SWE,all,2018-03-19,AwesomeInsurance,Aided Awareness,85.86,all
SWE,all,2018-03-19,CoolInsurance,Aided Awareness,80.32,all
SWE,all,2018-03-19,AwesomeInsurance,Consideration,29.21,all
SWE,all,2018-03-19,BestInsurance,Consideration,31.55,all
SWE,all,2018-03-19,CoolInsurance,Consideration,28.42,all
SWE,all,2018-03-19,AwesomeInsurance,Penetration,33.93,all
SWE,all,2018-03-19,BestInsurance,Penetration,33.06,all
SWE,all,2018-03-19,CoolInsurance,Penetration,31.41,all
SWE,all,2018-03-19,AwesomeInsurance,Purchase Intent,21.75,all
SWE,all,2018-03-19,AwesomeInsurance,Buzz,38.55,all
SWE,all,2018-03-19,AwesomeInsurance,Wom,24.52,all
SWE,all,2018-03-19,AwesomeInsurance,Recommendation,53.24,all
SWE,all,2018-03-19,AwesomeInsurance,Satisfaction,11.75,all
SWE,all,2018-03-19,CoolInsurance,Satisfaction,11.64,all
SWE,all,2018-03-19,AwesomeInsurance,Likability,36.65,all
SWE,all,2018-03-19,AwesomeInsurance,Quality,89.15,all
SWE,all,2018-03-19,CoolInsurance,Quality,74.86,all
SWE,all,2018-03-19,AwesomeInsurance,Impression,11.65,all
SWE,all,2018-03-19,CoolInsurance,Impression,12.5,all
SWE,all,2018-03-26,AwesomeInsurance,Unaided Awareness,56.58,all
SWE,all,2018-03-26,CoolInsurance,Unaided Awareness,62.07,all
SWE,all,2018-03-26,AwesomeInsurance,Aided Awareness,71.4,all
SWE,all,2018-03-26,CoolInsurance,Aided Awareness,82.03,all
SWE,all,2018-03-26,AwesomeInsurance,Consideration,32.6,all
SWE,all,2018-03-26,BestInsurance,Consideration,27.28,all
SWE,all,2018-03-26,CoolInsurance,Consideration,32.09,all
SWE,all,2018-03-26,AwesomeInsurance,Penetration,33.37,all
SWE,all,2018-03-26,BestInsurance,Penetration,34.46,all
SWE,all,2018-03-26,CoolInsurance,Penetration,36.88,all
SWE,all,2018-03-26,AwesomeInsurance,Purchase Intent,18.2,all
SWE,all,2018-03-26,AwesomeInsurance,Buzz,37.11,all
SWE,all,2018-03-26,AwesomeInsurance,Wom,20.34,all
SWE,all,2018-03-26,AwesomeInsurance,Recommendation,45.12,all
SWE,all,2018-03-26,AwesomeInsurance,Satisfaction,13.16,all
SWE,all,2018-03-26,CoolInsurance,Satisfaction,12.08,all
SWE,all,2018-03-26,AwesomeInsurance,Likability,39.77,all
SWE,all,2018-03-26,AwesomeInsurance,Quality,82.78,all
SWE,all,2018-03-26,CoolInsurance,Quality,91.67,all
SWE,all,2018-03-26,AwesomeInsurance,Impression,10.34,all
SWE,all,2018-03-26,CoolInsurance,Impression,10.83,all
SWE,all,2018-04-02,AwesomeInsurance,Unaided Awareness,54.92,all
SWE,all,2018-04-02,CoolInsurance,Unaided Awareness,56.92,all
SWE,all,2018-04-02,AwesomeInsurance,Aided Awareness,89.0,all
SWE,all,2018-04-02,CoolInsurance,Aided Awareness,74.51,all
SWE,all,2018-04-02,AwesomeInsurance,Consideration,28.15,all
SWE,all,2018-04-02,BestInsurance,Consideration,29.6,all
SWE,all,2018-04-02,CoolInsurance,Consideration,32.34,all
SWE,all,2018-04-02,AwesomeInsurance,Penetration,39.4,all
SWE,all,2018-04-02,BestInsurance,Penetration,38.58,all
SWE,all,2018-04-02,CoolInsurance,Penetration,37.37,all
SWE,all,2018-04-02,AwesomeInsurance,Purchase Intent,21.92,all
SWE,all,2018-04-02,AwesomeInsurance,Buzz,32.35,all
SWE,all,2018-04-02,AwesomeInsurance,Wom,21.11,all
SWE,all,2018-04-02,AwesomeInsurance,Recommendation,43.44,all
SWE,all,2018-04-02,AwesomeInsurance,Satisfaction,10.69,all
SWE,all,2018-04-02,CoolInsurance,Satisfaction,11.72,all
SWE,all,2018-04-02,AwesomeInsurance,Likability,35.61,all
SWE,all,2018-04-02,AwesomeInsurance,Quality,76.67,all
SWE,all,2018-04-02,CoolInsurance,Quality,88.34,all
SWE,all,2018-04-02,AwesomeInsurance,Impression,10.48,all
SWE,all,2018-04-02,CoolInsurance,Impression,12.31,all
SWE,all,2018-04-09,AwesomeInsurance,Unaided Awareness,54.03,all
SWE,all,2018-04-09,CoolInsurance,Unaided Awareness,56.47,all
SWE,all,2018-04-09,AwesomeInsurance,Aided Awareness,87.78,all
SWE,all,2018-04-09,CoolInsurance,Aided Awareness,86.84,all
SWE,all,2018-04-09,AwesomeInsurance,Consideration,30.89,all
SWE,all,2018-04-09,BestInsurance,Consideration,31.96,all
SWE,all,2018-04-09,CoolInsurance,Consideration,25.65,all
SWE,all,2018-04-09,AwesomeInsurance,Penetration,39.64,all
SWE,all,2018-04-09,BestInsurance,Penetration,30.33,all
SWE,all,2018-04-09,CoolInsurance,Penetration,32.24,all
SWE,all,2018-04-09,AwesomeInsurance,Purchase Intent,20.71,all
SWE,all,2018-04-09,AwesomeInsurance,Buzz,35.07,all
SWE,all,2018-04-09,AwesomeInsurance,Wom,25.69,all
SWE,all,2018-04-09,AwesomeInsurance,Recommendation,46.67,all
SWE,all,2018-04-09,AwesomeInsurance,Satisfaction,10.42,all
SWE,all,2018-04-09,CoolInsurance,Satisfaction,10.39,all
SWE,all,2018-04-09,AwesomeInsurance,Likability,31.95,all
SWE,all,2018-04-09,AwesomeInsurance,Quality,80.47,all
SWE,all,2018-04-09,CoolInsurance,Quality,89.93,all
SWE,all,2018-04-09,AwesomeInsurance,Impression,11.51,all
SWE,all,2018-04-09,CoolInsurance,Impression,11.72,all
SWE,all,2018-04-16,AwesomeInsurance,Unaided Awareness,52.24,all
SWE,all,2018-04-16,CoolInsurance,Unaided Awareness,56.57,all
SWE,all,2018-04-16,AwesomeInsurance,Aided Awareness,89.34,all
SWE,all,2018-04-16,CoolInsurance,Aided Awareness,86.69,all
SWE,all,2018-04-16,AwesomeInsurance,Consideration,30.59,all
SWE,all,2018-04-16,BestInsurance,Consideration,26.11,all
SWE,all,2018-04-16,CoolInsurance,Consideration,30.36,all
SWE,all,2018-04-16,AwesomeInsurance,Penetration,35.27,all
SWE,all,2018-04-16,BestInsurance,Penetration,30.69,all
SWE,all,2018-04-16,CoolInsurance,Penetration,33.75,all
SWE,all,2018-04-16,AwesomeInsurance,Purchase Intent,18.87,all
SWE,all,2018-04-16,AwesomeInsurance,Buzz,34.56,all
SWE,all,2018-04-16,AwesomeInsurance,Wom,20.75,all
SWE,all,2018-04-16,AwesomeInsurance,Recommendation,47.78,all
SWE,all,2018-04-16,AwesomeInsurance,Satisfaction,10.61,all
SWE,all,2018-04-16,CoolInsurance,Satisfaction,12.25,all
SWE,all,2018-04-16,AwesomeInsurance,Likability,34.18,all
SWE,all,2018-04-16,AwesomeInsurance,Quality,77.31,all
SWE,all,2018-04-16,CoolInsurance,Quality,85.66,all
SWE,all,2018-04-16,AwesomeInsurance,Impression,13.04,all
SWE,all,2018-04-16,CoolInsurance,Impression,12.98,all
SWE,all,2018-04-23,AwesomeInsurance,Unaided Awareness,58.48,all
SWE,all,2018-04-23,CoolInsurance,Unaided Awareness,57.74,all
SWE,all,2018-04-23,AwesomeInsurance,Aided Awareness,78.96,all
SWE,all,2018-04-23,CoolInsurance,Aided Awareness,84.08,all
SWE,all,2018-04-23,AwesomeInsurance,Consideration,32.81,all
SWE,all,2018-04-23,BestInsurance,Consideration,28.96,all
SWE,all,2018-04-23,CoolInsurance,Consideration,28.93,all
SWE,all,2018-04-23,AwesomeInsurance,Penetration,36.74,all
SWE,all,2018-04-23,BestInsurance,Penetration,33.44,all
SWE,all,2018-04-23,CoolInsurance,Penetration,33.87,all
SWE,all,2018-04-23,AwesomeInsurance,Purchase Intent,17.87,all
SWE,all,2018-04-23,AwesomeInsurance,Buzz,35.63,all
SWE,all,2018-04-23,AwesomeInsurance,Wom,20.6,all
SWE,all,2018-04-23,AwesomeInsurance,Recommendation,48.79,all
SWE,all,2018-04-23,AwesomeInsurance,Satisfaction,10.06,all
SWE,all,2018-04-23,CoolInsurance,Satisfaction,10.78,all
SWE,all,2018-04-23,AwesomeInsurance,Likability,32.48,all
SWE,all,2018-04-23,AwesomeInsurance,Quality,90.25,all
SWE,all,2018-04-23,CoolInsurance,Quality,91.7,all
SWE,all,2018-04-23,AwesomeInsurance,Impression,12.81,all
SWE,all,2018-04-23,CoolInsurance,Impression,12.04,all
SWE,all,2018-04-30,AwesomeInsurance,Unaided Awareness,64.21,all
SWE,all,2018-04-30,CoolInsurance,Unaided Awareness,57.63,all
SWE,all,2018-04-30,AwesomeInsurance,Aided Awareness,78.77,all
SWE,all,2018-04-30,CoolInsurance,Aided Awareness,89.03,all
SWE,all,2018-04-30,AwesomeInsurance,Consideration,25.0,all
SWE,all,2018-04-30,BestInsurance,Consideration,28.49,all
SWE,all,2018-04-30,CoolInsurance,Consideration,30.71,all
SWE,all,2018-04-30,AwesomeInsurance,Penetration,35.55,all
SWE,all,2018-04-30,BestInsurance,Penetration,39.44,all
SWE,all,2018-04-30,CoolInsurance,Penetration,31.37,all
SWE,all,2018-04-30,AwesomeInsurance,Purchase Intent,20.28,all
SWE,all,2018-04-30,AwesomeInsurance,Buzz,32.69,all
SWE,all,2018-04-30,AwesomeInsurance,Wom,24.62,all
SWE,all,2018-04-30,AwesomeInsurance,Recommendation,41.01,all
SWE,all,2018-04-30,AwesomeInsurance,Satisfaction,11.89,all
SWE,all,2018-04-30,CoolInsurance,Satisfaction,11.08,all
SWE,all,2018-04-30,AwesomeInsurance,Likability,35.5,all
SWE,all,2018-04-30,AwesomeInsurance,Quality,80.1,all
SWE,all,2018-04-30,CoolInsurance,Quality,86.49,all
SWE,all,2018-04-30,AwesomeInsurance,Impression,12.95,all
SWE,all,2018-04-30,CoolInsurance,Impression,11.2,all
SWE,all,2018-05-07,AwesomeInsurance,Unaided Awareness,65.96,all
SWE,all,2018-05-07,CoolInsurance,Unaided Awareness,61.46,all
SWE,all,2018-05-07,AwesomeInsurance,Aided Awareness,80.8,all
SWE,all,2018-05-07,CoolInsurance,Aided Awareness,84.07,all
SWE,all,2018-05-07,AwesomeInsurance,Consideration,28.54,all
SWE,all,2018-05-07,BestInsurance,Consideration,25.34,all
SWE,all,2018-05-07,CoolInsurance,Consideration,25.16,all
SWE,all,2018-05-07,AwesomeInsurance,Penetration,35.49,all
SWE,all,2018-05-07,BestInsurance,Penetration,31.92,all
SWE,all,2018-05-07,CoolInsurance,Penetration,31.51,all
SWE,all,2018-05-07,AwesomeInsurance,Purchase Intent,17.49,all
SWE,all,2018-05-07,AwesomeInsurance,Buzz,35.8,all
SWE,all,2018-05-07,AwesomeInsurance,Wom,26.27,all
SWE,all,2018-05-07,AwesomeInsurance,Recommendation,45.16,all
SWE,all,2018-05-07,AwesomeInsurance,Satisfaction,11.12,all
SWE,all,2018-05-07,CoolInsurance,Satisfaction,11.04,all
SWE,all,2018-05-07,AwesomeInsurance,Likability,35.81,all
SWE,all,2018-05-07,AwesomeInsurance,Quality,87.1,all
SWE,all,2018-05-07,CoolInsurance,Quality,82.87,all
SWE,all,2018-05-07,AwesomeInsurance,Impression,13.21,all
SWE,all,2018-05-07,CoolInsurance,Impression,12.47,all
SWE,all,2018-05-14,AwesomeInsurance,Unaided Awareness,64.02,all
SWE,all,2018-05-14,CoolInsurance,Unaided Awareness,55.04,all
SWE,all,2018-05-14,AwesomeInsurance,Aided Awareness,83.75,all
SWE,all,2018-05-14,CoolInsurance,Aided Awareness,87.82,all
SWE,all,2018-05-14,AwesomeInsurance,Consideration,32.93,all
SWE,all,2018-05-14,BestInsurance,Consideration,26.86,all
SWE,all,2018-05-14,CoolInsurance,Consideration,28.6,all
SWE,all,2018-05-14,AwesomeInsurance,Penetration,32.19,all
SWE,all,2018-05-14,BestInsurance,Penetration,36.7,all
SWE,all,2018-05-14,CoolInsurance,Penetration,35.05,all
SWE,all,2018-05-14,AwesomeInsurance,Purchase Intent,19.05,all
SWE,all,2018-05-14,AwesomeInsurance,Buzz,31.68,all
SWE,all,2018-05-14,AwesomeInsurance,Wom,24.08,all
SWE,all,2018-05-14,AwesomeInsurance,Recommendation,50.02,all
SWE,all,2018-05-14,AwesomeInsurance,Satisfaction,12.6,all
SWE,all,2018-05-14,CoolInsurance,Satisfaction,12.22,all
SWE,all,2018-05-14,AwesomeInsurance,Likability,38.51,all
SWE,all,2018-05-14,AwesomeInsurance,Quality,80.17,all
SWE,all,2018-05-14,CoolInsurance,Quality,80.9,all
SWE,all,2018-05-14,AwesomeInsurance,Impression,13.12,all
SWE,all,2018-05-14,CoolInsurance,Impression,10.73,all
SWE,all,2018-05-21,AwesomeInsurance,Unaided Awareness,62.85,all
SWE,all,2018-05-21,CoolInsurance,Unaided Awareness,57.88,all
SWE,all,2018-05-21,AwesomeInsurance,Aided Awareness,84.18,all
SWE,all,2018-05-21,CoolInsurance,Aided Awareness,73.34,all
SWE,all,2018-05-21,AwesomeInsurance,Consideration,29.04,all
SWE,all,2018-05-21,BestInsurance,Consideration,26.96,all
SWE,all,2018-05-21,CoolInsurance,Consideration,29.93,all
SWE,all,2018-05-21,AwesomeInsurance,Penetration,38.13,all
SWE,all,2018-05-21,BestInsurance,Penetration,34.56,all
SWE,all,2018-05-21,CoolInsurance,Penetration,35.4,all
SWE,all,2018-05-21,AwesomeInsurance,Purchase Intent,17.22,all
SWE,all,2018-05-21,AwesomeInsurance,Buzz,39.3,all
SWE,all,2018-05-21,AwesomeInsurance,Wom,20.81,all
